alias,lang_id,source
5D 5D Brainfuck With Multiverse Time Travel With Multiverse Time Travel,5d-5d-brainfuck-with-multiverse-time-travel-with-multiverse-time-travel,self
5D Brainfuck With Multiverse Time Travel,5d-brainfuck-with-multiverse-time-travel,self
5D Deadfish with Multiverse Time Travel,5d-deadfish-with-multiverse-time-travel,self
5iasm,5iasm,self
5MAT,5mat,self
6,6,self
6-5,6-5,self
6π-b,6-b,self
"6 bits, 12 bytes",6-bits-12-bytes,self
6 bytes of useless element,6-bytes-of-useless-element,self
"6 trits, 243 trytes",6-trits-243-trytes,self
6673846770,6673846770,self
6969 Assembler,6969-assembler,self
6A,6a,self
6chars,6chars,self
6gunz,6gunz,self
6ix,6ix,self
7,7,self
7-8,7-8,self
7 bytes XD,7-bytes-xd,self
7Basic,7basic,self
8,8,self
8-Bit,8-bit,self
"8 bits, 256 bytes",8-bits-256-bytes,self
81,81,self
8BallScript,8ballscript,self
8ial,8ial,self
8th,8th,self
8xn,8xn,self
9,9,self
9 bytes :I,9-bytes-i,self
90,90,self
90deg,90deg,self
91v,91v,self
95-98,95-98,self
96,96,self
99 bottles of pain,99-bottles-of-pain,self
99 (Esolang),99-esolang,self
99 (Joke language),99-joke-language,self
9f87m4atttaaaou;,9f87m4atttaaaou,self
＿,_,self
!@a*,a,self
A+ (programming language),a+-programming-language,self
A-0 System,a-0-system,self
A^2+b^2=c^2,a-2+b-2-c-2,self
A!&!A,a-a,self
A=ab=bc=cd=d!,a-ab-bc-cd-d,self
A=B,a-b,self
A box with balls,a-box-with-balls,self
A-DU,a-du,self
A-gram,a-gram,self
A IS B,a-is-b,self
A Language Programmed While Listening to Godspeed You! Black Emperor,a-language-programmed-while-listening-to-godspeed-you-black-emperor,self
A language so useless it only has one command,a-language-so-useless-it-only-has-one-command,self
A Pear Tree,a-pear-tree,self
Aɪ pʰiː eɪ,a-phi-e,self
A programming language is a system of notation for writing computer programs.,a-programming-language-is-a-system-of-notation-for-writing-computer-programs,self
A Question of Protocol,a-question-of-protocol,self
A Queue which can't grow,a-queue-which-can-t-grow,self
A.R.T.I.C.L.E.,a-r-t-i-c-l-e,self
"A ""real"" esolang",a-real-esolang,self
A returns a,a-returns-a,self
A-SCP-M,a-scp-m,self
a-sharp,a-sharp,self
A Sharp (.NET),a-sharp-net,self
A Simple Language With A Console,a-simple-language-with-a-console,self
A Simple Language With A Console Except There Is No Console,a-simple-language-with-a-console-except-there-is-no-console,self
A simple point and click language…?,a-simple-point-and-click-language,self
A-Skii,a-skii,self
A Slow Language,a-slow-language,self
A.T.A.L.,a-t-a-l,self
A Triple Sharp,a-triple-sharp,self
A Very BASIC Esolang,a-very-basic-esolang,self
"A very long language name that is very weird and yeah, this is your but its this",a-very-long-language-name-that-is-very-weird-and-yeah-this-is-your-but-its-this,self
A very minimal esolang with a very few amount of instructions,a-very-minimal-esolang-with-a-very-few-amount-of-instructions,self
A0A0,a0a0,self
A1,a1,self
A345120268A9,a345120268a9,self
a51,a51,self
AAA,aaa,self
AAAAAAAAAAAAAA!!!!,aaaaaaaaaaaaaa,self
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,self
AAAAAAAAAAAAAAaaaaaaaaaEEEEEEEaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaeeeeeeeaaaaaaaaaaaa,self
Aaargh++,aaargh-plus-plus,self
aadl,aadl,self
AAEEEEEEEEEI,aaeeeeeeeeei,self
aaf,aaf,self
aarch64,aarch64,self
aardappel,aardappel,self
Aardvark,aardvark,self
Aarkinitio,aarkinitio,self
Ababab,ababab,self
Abacus Computer,abacus-computer,self
abacus-machine,abacus-machine,self
abal,abal,self
ABAP,abap,self
ABAP CDS,abap-cds,self
Abba,abba,self
abbreviated-test-language-for-all-systems,abbreviated-test-language-for-all-systems,self
ABC,abc,self
abc-80,abc-80,self
abc-algol,abc-algol,self
ABC (programming language),abc-programming-language,self
ABCD,abcd,self
ABCDE,abcde,self
ABCDirection,abcdirection,self
ABCDirectionE,abcdirection,self
ABCDXYZ,abcdxyz,self
abcl,abcl,self
abcl-cp,abcl-cp,self
abcl-f,abcl-f,self
abcl-lang,abcl-lang,self
Abcout,abcout,self
abcpp,abcpp,self
ABCR,abcr,self
ABCs,abcs,self
ABCstr,abcstr,self
abel,abel,self
!aBF',abf,self
ABFC (Another BrainFuck Clone),abfc-another-brainfuck-clone,self
ABG,abg,self
``abi2 hB8 7Vi 7iY,abi2-hb8-7vi-7iy,self
able,able,self
ABNF,abnf,self
Aboba,aboba,self
ABPLWNL,abplwnl,self
ABPLWNL but with stack,abplwnl-but-with-stack,self
ABrainloller,abrainloller,self
abs,abs,self
abset,abset,self
Abstract,abstract,self
abstract-state-machine-language,abstract-state-machine-language,self
abstracto,abstract,self
Absurd Brainfuck,absurd-brainfuck,self
absys,absys,self
ac-toolbox,ac-toolbox,self
Acc!!,acc,self
ACC (programming language),abc-programming-language,self
accent,accent,self
Accent (programming language),acc-programming-language,self
ACCUMULATOR,accumulator,self
ace,ace,self
aces-standard,aces-standard,self
Aceto,aceto,self
ACHEQUEUENINETHOUSANDPLUS,achequeueninethousandplus,self
ACIDIC,acidic,self
ACL,acl,self
acl2,acl2,self
acme,acme,self
Acme::Bleach,acme-bleach,self
AcoFuck,acofuck,self
acore,acore,self
acorn,acorn,self
acorn-atom,acorn-atom,self
acorn-lang,acorn-lang,self
acornsoft-logo,acornsoft-logo,self
acos,acos,self
ACRONYM,acronym,self
Acrostic,acrostic,self
acsi-matic,acsi-matic,self
acsl,acsl,self
acsv,acsv,self
act-iii,act-iii,self
act-one,act-one,self
actalk,actalk,self
action,action,self
action-code-script,action-code-script,self
Action! (programming language),action-programming-language,self
Action symbol,action-symbol,self
ActionScript,actionscript,self
active-language-i,active-language-i,self
active-u-datalog,active-u-datalog,self
activevfp,activevfp,self
activity-pub,activity-pub,self
actor,actor,self
Actor (programming language),action-programming-language,self
actors,actors,self
actus,actus,self
Acyclic Tag,acyclic-tag,self
ad-hoc,ad-hoc,self
Ada,ada,self
ada-95,ada-95,self
ada-9x,ada-9x,self
Ada (programming language),ada-programming-language,self
ada-tl,ada-tl,self
adabtpl,adabtpl,self
adagio,adagio,self
adam,adam,self
adam-standard,adam-standard,self
adamant,adamant,self
adaplex,adaplex,self
Adar,adar,self
Adblock Filter List,adblock-filter-list,self
Add images or other media for use on Wikipedia,add-images-or-other-media-for-use-on-wikipedia,self
Addbig,addbig,self
Adders,adders,self
ADDI,addi,self
Addit,addit,self
Addition Automaton,addition-automaton,self
AddJump,addjump,self
Addleq,addleq,self
Addo,addo,self
address,address,self
Adeco,adeco,self
Adenine (programming language),adenine-programming-language,self
adept,adept,self
ades,ades,self
ades-ii,ades-ii,self
aditi,aditi,self
Adj,adj,self
ADJUST,adjust,self
adlib,adlib,self
Adobe Font Metrics,adobe-font-metrics,self
ads-b-standard,ads-b-standard,self
Advance The Wheel!,advance-the-wheel,self
Advanced Brainfuck,advanced-brainfuck,self
advanced-continuous-simulation-language,advanced-continuous-simulation-language,self
advice-taker,advice-taker,self
AdvPL,advpl,self
ADxc,adxc,self
AEAV,aeav,self
aed,aed,self
AEL,ael,self
Aeolbonn,aeolbonn,self
Aeon,aeon,self
aepl,aepl,self
Aepoch,aepoch,self
aesop,aesop,self
Ａｅｓｔｈｅｔｉｃｓ,aesthetics,self
Aether,aether,self
AETRF,aetrf,self
AEWNN,aewnn,self
AF,af,self
Affine Mess,affine-mess,self
afnix,afnix,self
aframe,aframe,self
afs,afs,self
After,after,self
Afterstar,afterstar,self
Afth,afth,self
AFTL,aftl,self
Afunge,afunge,self
Afz,afz,self
Agda,agda,self
Agda (programming language),ada-programming-language,self
agent-k,agent-k,self
agentspeak,agentspeak,self
AGG,agg,self
Aggressthon,aggressthon,self
Agilent VEE,agilent-vee,self
AGL,agl,self
Agony,agony,self
agora,agora,self
Agora (programming language),agda-programming-language,self
AGS Script,ags-script,self
AGSPL,agspl,self
AH'TALIQUAE ENGLISH,ah-taliquae-english,self
Ahead,ahead,self
Aheui,aheui,self
AHHH,ahhh,self
AHQ9+-,ahq9+,self
AI-Generated Esolang,ai-generated-esolang,self
AI made dis,ai-made-dis,self
aida,aida,self
AIDL,aidl,self
aids,aids,self
AIGenLang,aigenlang,self
Aiken,aiken,self
ail,ail,self
aime,aime,self
aiml,aiml,self
AIMMS,aimms,self
air,air,self
Airline Food,airline-food,self
airtable-app,airtable-app,self
ais,ais,self
ait,ait,self
aith,aith,self
AIV,aiv,self
Aivr,aivr,self
Aj,aj,self
Ajsone,ajsone,self
Akdrfsbathnede knem,akdrfsbathnede-knem,self
akl,akl,self
AL,al,self
Al Dente,al-dente,self
Alacrity,alacrity,self
aladin,aladin,self
ALAGUF,alaguf,self
alambik,alambik,self
alan,alan,self
Alan's dead fish,alan-s-dead-fish,self
Alarm Clock Radio,alarm-clock-radio,self
alba,alba,self
Albabet,albabet,self
Albanian Laundry Machine,albanian-laundry-machine,self
albatross,albatross,self
Alchemist,alchemist,self
Alchemy,alchemy,self
alcor,alcor,self
aldat,aldat,self
aldes,aldes,self
Aldor,aldor,self
aldwych,aldwych,self
Ale,ale,self
alec,alec,self
alef,alef,self
Alef (programming language),alef-programming-language,self
alembic,alembic,self
aleph,aleph,self
Aleph-ZERO,aleph-zero,self
Alertbox,alertbox,self
Alex,alex,self
alf,alf,self
Alfie,alfie,self
alfred,alfred,self
algae,algae,self
Algebra (Archived),algebra-archived,self
Algebraic Brainfuck,algebraic-brainfuck,self
algebraic-compiler,algebraic-compiler,self
Algebraic Logic Functional programming language,algebraic-logic-functional-programming-language,self
algebraic-modeling-language,algebraic-modeling-language,self
Algebraic Programming Language,algebraic-programming-language,self
algem,algem,self
algernon,algernon,self
algo,algo,self
algobox,algobox,self
ALGOL,algol,self
ALGOL 58,algol-58,self
ALGOL 60,algol-60,self
ALGOL 68,algol-68,self
algol-68-r,algol-68-r,self
algol-68-rt,algol-68-r,self
algol-e,algol-e,self
algol-n,algol-n,self
ALGOL W,algol-w,self
algol-x,algol-x,self
AlgorE,algore,self
algy,algy,self
Alice,alice,self
Alice (programming language),alef-programming-language,self
Alight,alight,self
ALIMBIHNN,alimbihnn,self
Aliquid,aliquid,self
Alisj,alisj,self
Alivefish,alivefish,self
Alivehyperfish,alivehyperfish,self
aljabr,aljabr,self
ALL,all,self
AllChar,allchar,self
allegro-common-lisp,allegro-common-lisp,self
allo,allo,self
Alloy,alloy,self
ALLSCII,allscii,self
alma,alma,self
Alma-0,alma-0,self
alma-007,alma-007,self
alma-o,alma-o,self
ALMBARC12YO,almbarc12yo,self
ALMFCPLIR,almfcplir,self
almir,almir,self
Almost Binary,almost-binary,self
almquist-shell,almquist-shell,self
alohanet,alohanet,self
Along and Across,along-and-across,self
