rosettacode_name,rosettacode_url
SPAD,https://rosettacode.org/wiki/SPAD
SSEM,https://rosettacode.org/wiki/SSEM
Salmon,https://rosettacode.org/wiki/Salmon
SapbotVM,https://rosettacode.org/wiki/SapbotVM
Sass/SCSS,https://rosettacode.org/wiki/Sass/SCSS
ScratchScript,https://rosettacode.org/wiki/ScratchScript
Script3D,https://rosettacode.org/wiki/Script3D
Setl4,https://rosettacode.org/wiki/Setl4
Shale,https://rosettacode.org/wiki/Shale
Shiny,https://rosettacode.org/wiki/Shiny
Sidef,https://rosettacode.org/wiki/Sidef
SimpleCode,https://rosettacode.org/wiki/SimpleCode
SimpleLang,https://rosettacode.org/wiki/SimpleLang
Sinclair ZX81 BASIC,https://rosettacode.org/wiki/Sinclair_ZX81_BASIC
Slate,https://rosettacode.org/wiki/Slate
Smart BASIC,https://rosettacode.org/wiki/Smart_BASIC
SmileBASIC,https://rosettacode.org/wiki/SmileBASIC
Soda,https://rosettacode.org/wiki/Soda
SoneKing Assembly,https://rosettacode.org/wiki/SoneKing_Assembly
SparForte,https://rosettacode.org/wiki/SparForte
Sparkling,https://rosettacode.org/wiki/Sparkling
Superbase BASIC,https://rosettacode.org/wiki/Superbase_BASIC
Supernova,https://rosettacode.org/wiki/Supernova
Swahili,https://rosettacode.org/wiki/Swahili
Symsyn,https://rosettacode.org/wiki/Symsyn
TAV,https://rosettacode.org/wiki/TAV
TI SR-56,https://rosettacode.org/wiki/TI_SR-56
TI-57,https://rosettacode.org/wiki/TI-57
TI-83 BASIC,https://rosettacode.org/wiki/TI-83_BASIC
TI-83 Hex Assembly,https://rosettacode.org/wiki/TI-83_Hex_Assembly
TPP,https://rosettacode.org/wiki/TPP
TRS-80 BASIC,https://rosettacode.org/wiki/TRS-80_BASIC
TSE SAL,https://rosettacode.org/wiki/TSE_SAL
Tailspin,https://rosettacode.org/wiki/Tailspin
Tbas,https://rosettacode.org/wiki/Tbas
TechBASIC,https://rosettacode.org/wiki/TechBASIC
Thistle,https://rosettacode.org/wiki/Thistle
Tobbisk,https://rosettacode.org/wiki/Tobbisk
Toka,https://rosettacode.org/wiki/Toka
TorqueScript,https://rosettacode.org/wiki/TorqueScript
TransFORTH,https://rosettacode.org/wiki/TransFORTH
Transd,https://rosettacode.org/wiki/Transd
Trith,https://rosettacode.org/wiki/Trith
Typed Racket,https://rosettacode.org/wiki/Typed_Racket
UC++,https://rosettacode.org/wiki/UC++
UNIX Shell,https://rosettacode.org/wiki/UNIX_Shell
UTFool,https://rosettacode.org/wiki/UTFool
Ultimate++,https://rosettacode.org/wiki/Ultimate++
UnixPipes,https://rosettacode.org/wiki/UnixPipes
Ursa,https://rosettacode.org/wiki/Ursa
Ursala,https://rosettacode.org/wiki/Ursala
Ursalang,https://rosettacode.org/wiki/Ursalang
UserRPL,https://rosettacode.org/wiki/UserRPL
V (Vlang),https://rosettacode.org/wiki/V_(Vlang)
VAX Assembly,https://rosettacode.org/wiki/VAX_Assembly
VB6,https://rosettacode.org/wiki/VB6
VTL-2,https://rosettacode.org/wiki/VTL-2
Vedit macro language,https://rosettacode.org/wiki/Vedit_macro_language
Verbexx,https://rosettacode.org/wiki/Verbexx
Viua VM assembly,https://rosettacode.org/wiki/Viua_VM_assembly
Vorpal,https://rosettacode.org/wiki/Vorpal
Vox,https://rosettacode.org/wiki/Vox
WDTE,https://rosettacode.org/wiki/WDTE
Woma,https://rosettacode.org/wiki/Woma
Wortel,https://rosettacode.org/wiki/Wortel
Wrapl,https://rosettacode.org/wiki/Wrapl
X86-64 Assembly,https://rosettacode.org/wiki/X86-64_Assembly
XBS,https://rosettacode.org/wiki/XBS
XLISP,https://rosettacode.org/wiki/XLISP
XPath 2.0,https://rosettacode.org/wiki/XPath_2.0
XSLT 1.0,https://rosettacode.org/wiki/XSLT_1.0
XSLT 2.0,https://rosettacode.org/wiki/XSLT_2.0
XTalk,https://rosettacode.org/wiki/XTalk
XUL,https://rosettacode.org/wiki/XUL
Xanadu,https://rosettacode.org/wiki/Xanadu
YAMLScript,https://rosettacode.org/wiki/YAMLScript
Ya,https://rosettacode.org/wiki/Ya
Z80 Assembly,https://rosettacode.org/wiki/Z80_Assembly
ZX Spectrum Basic,https://rosettacode.org/wiki/ZX_Spectrum_Basic
Zkl,https://rosettacode.org/wiki/Zkl
Zoea,https://rosettacode.org/wiki/Zoea
Zoea Visual,https://rosettacode.org/wiki/Zoea_Visual
Zoomscript,https://rosettacode.org/wiki/Zoomscript
МК-61/52,https://rosettacode.org/wiki/МК-61/52
உயிர்/Uyir,https://rosettacode.org/wiki/உயிர்/Uyir
