extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,sample_lang
.f08,1,0,1,0,0,Fortran Free Form
.f77,1,1,1,1,0,Fortran
.f90,1,0,1,0,0,Fortran Free Form
.f95,1,0,1,0,0,Fortran Free Form
.factor,1,1,1,0,1,Factor
.fan,1,1,1,0,0,Fantom
.fancypack,1,1,1,0,0,Fancy
.fea,1,1,1,0,0,OpenType Feature File
.feature,1,1,1,0,0,Gherkin
.filters,1,1,1,0,0,XML
.fir,1,1,1,0,0,FIRRTL
.fish,1,1,1,0,1,fish
.flex,1,1,1,0,0,JFlex
.flf,1,1,1,0,0,FIGlet Font
.flix,1,1,1,0,0,Flix
.flux,1,1,1,0,1,FLUX
.fnc,1,0,1,0,0,PLSQL
.fnl,1,1,1,0,0,Fennel
.forth,1,1,1,0,1,Forth
.fp,1,1,1,0,0,GLSL
.fpp,1,1,1,1,0,Fortran
.frg,1,1,1,0,0,GLSL
.frt,1,1,1,0,1,Forth
.fsh,1,1,1,0,0,GLSL
.fshader,1,1,1,0,0,GLSL
.fsi,1,1,1,0,0,F#
.fsproj,1,1,1,0,0,XML
.fst,1,1,1,0,1,F*
.fsti,1,1,1,0,1,F*
.fsx,1,1,1,0,0,F#
.fth,1,1,1,0,1,Forth
.ftlh,1,1,1,0,0,FreeMarker
.fun,1,1,1,1,0,Standard ML
.fut,1,1,1,0,0,Futhark
.fxh,1,1,1,0,0,HLSL
.fxml,1,1,1,0,0,XML
.fy,1,1,1,0,0,Fancy
.g4,1,1,1,0,0,ANTLR
.gaml,1,1,1,0,0,GAML
.gap,1,1,1,0,0,GAP
.gawk,1,1,1,1,0,Awk
.gbl,1,1,1,0,0,Gerber Image
.gbo,1,1,1,0,0,Gerber Image
.gbp,1,1,1,0,0,Gerber Image
.gbr,1,1,1,0,0,Gerber Image
.gbs,1,1,1,0,0,Gerber Image
.gco,1,1,1,1,0,G-code
.gcode,1,1,1,1,0,G-code
.gdb,1,1,1,0,0,GDB
.gdbinit,1,1,1,0,0,GDB
.gdnlib,1,0,1,0,0,Godot Resource
.gdns,1,0,1,0,0,Godot Resource
.gdshader,1,0,1,0,0,GDShader
.gdshaderinc,1,0,1,0,0,GDShader
.ged,1,0,1,0,0,GEDCOM
.gemspec,1,1,1,0,0,Ruby
.geo,1,1,1,0,0,GLSL
.geojson,1,0,1,0,0,JSON
.geom,1,1,1,0,0,GLSL
.gf,1,1,1,0,0,Grammatical Framework
.gi,1,1,1,0,0,GAP
.gitconfig,1,1,1,0,0,Git Config
.gitignore,1,0,1,0,0,Ignore List
.gjs,1,0,1,0,0,Glimmer JS
.gko,1,1,1,0,0,Gerber Image
.glade,1,1,1,0,0,XML
.gleam,1,1,1,0,0,Gleam
.glf,1,1,1,0,0,Glyph
.glsl,1,1,1,0,0,GLSL
.glslf,1,1,1,0,0,GLSL
.glslv,1,1,1,0,0,GLSL
.gltf,1,0,1,0,0,JSON
.glyphs,1,0,1,0,0,OpenStep Property List
.gmi,1,1,1,0,0,Gemini
.gms,1,1,1,0,0,GAMS
.gmx,1,1,1,0,0,XML
.gn,1,0,1,0,0,GN
.gni,1,0,1,0,0,GN
.gnu,1,1,1,0,0,Gnuplot
.gnuplot,1,1,1,0,0,Gnuplot
.go,1,1,1,0,0,Go
.god,1,1,1,0,0,Ruby
.golo,1,1,1,0,0,Golo
.gp,1,1,1,0,0,Gnuplot
.gpb,1,1,1,0,0,Gerber Image
.gpt,1,1,1,0,0,Gerber Image
.gpx,1,1,1,0,0,XML
.gql,1,0,1,0,0,GraphQL
.grace,1,1,1,0,0,Grace
.gradle,1,1,1,0,0,Gradle
.graphql,1,0,1,0,0,GraphQL
.graphqls,1,0,1,0,0,GraphQL
.groovy,1,1,1,0,0,Groovy
.grt,1,1,1,0,0,Groovy
.grxml,1,1,1,0,0,XML
.gsc,1,0,1,0,0,GSC
.gsh,1,0,1,0,0,GSC
.gshader,1,1,1,0,0,GLSL
.gsp,1,1,1,0,0,Groovy Server Pages
.gsx,1,1,1,0,0,Gosu
.gtl,1,1,1,0,0,Gerber Image
.gto,1,1,1,0,0,Gerber Image
.gtp,1,1,1,0,0,Gerber Image
.gtpl,1,1,1,0,0,Groovy
.gv,1,0,1,0,0,Graphviz (DOT)
.gvy,1,1,1,0,0,Groovy
.gyp,1,0,1,0,1,Python
.gypi,1,0,1,0,1,Python
.h++,1,0,1,1,1,C++
.ha,1,1,1,0,0,Hare
.hack,1,1,1,0,0,Hack
.haml,1,1,1,0,0,Haml
.handlebars,1,1,1,0,0,Handlebars
.har,1,0,1,0,0,JSON
.hats,1,1,1,0,0,ATS
.hb,1,1,1,0,0,Harbour
.hbs,1,1,1,0,0,Handlebars
.hc,1,1,1,0,0,HolyC
.hcl,1,1,1,0,0,HCL
.heex,1,0,1,0,0,HTML+EEX
.hhi,1,1,1,0,0,Hack
.hic,1,1,1,1,0,Clojure
.hip,1,0,1,0,0,HIP
.hlean,1,1,1,0,0,Lean
.hlsl,1,1,1,0,0,HLSL
.hlsli,1,1,1,0,0,HLSL
.hocon,1,1,1,0,0,HOCON
.hoon,1,1,1,0,1,hoon
.hpp,1,0,1,1,1,C++
.hqf,1,0,1,0,0,SQF
.hql,1,1,1,0,0,HiveQL
.hrl,1,1,1,0,0,Erlang
.hs,1,1,1,1,1,Haskell
.hs-boot,1,1,1,1,1,Haskell
.hsc,1,1,1,1,1,Haskell
.hta,1,1,1,0,0,HTML
.htm,1,1,1,0,0,HTML
.http,1,1,1,0,0,HTTP
.hurl,1,1,1,0,0,Hurl
.hx,1,1,1,1,0,Haxe
.hxml,1,1,1,0,0,HXML
.hxsl,1,1,1,1,0,Haxe
.hxx,1,0,1,1,1,C++
.hy,1,1,1,0,0,Hy
.hzp,1,1,1,0,0,XML
.i3,1,0,1,1,0,Modula-3
.i7x,1,0,1,0,0,Inform 7
.ical,1,0,1,0,0,iCalendar
.iced,1,1,1,1,0,CoffeeScript
.icl,1,1,1,0,0,Clean
.ics,1,0,1,0,0,iCalendar
.idc,1,1,1,1,1,C
.idr,1,1,1,0,0,Idris
.ig,1,0,1,1,0,Modula-3
.ihlp,1,1,1,1,0,Stata
.ijm,1,0,1,0,0,ImageJ Macro
.ijs,1,1,1,0,1,J
.ik,1,1,1,0,0,Ioke
.ily,1,1,1,1,0,LilyPond
.imba,1,1,1,0,0,Imba
.iml,1,1,1,0,0,XML
.ini,1,1,1,0,0,INI
.ink,1,1,1,0,0,Ink
.inl,1,0,1,1,1,C++
.ino,1,0,1,1,1,C++
.ins,1,1,1,1,0,TeX
.intr,1,1,1,0,0,Dylan
.io,1,1,1,0,0,Io
.iol,1,1,1,0,0,Jolie
.ipf,1,1,1,0,0,IGOR Pro
.ipp,1,0,1,1,1,C++
.ipynb,1,1,1,0,0,Jupyter Notebook
.irclog,1,1,1,0,0,IRC log
.isl,1,1,1,0,0,Inno Setup
.ispc,1,0,1,0,0,ISPC
.iss,1,1,1,0,0,Inno Setup
.iuml,1,1,1,0,0,PlantUML
.ivy,1,1,1,0,0,XML
.ixx,1,0,1,1,1,C++
.j2,1,1,1,0,0,Jinja
.jade,1,1,1,0,0,Pug
.jai,1,1,1,0,0,Jai
.jake,1,1,1,1,0,JavaScript
.janet,1,1,1,0,0,Janet
.jav,1,1,1,0,1,Java
.java,1,1,1,0,1,Java
.javascript,1,1,1,1,0,JavaScript
.jbuilder,1,1,1,0,0,Ruby
.jcl,1,1,1,0,0,JCL
.jelly,1,1,1,0,0,XML
.jflex,1,1,1,0,0,JFlex
.jinja,1,1,1,0,0,Jinja
.jinja2,1,1,1,0,0,Jinja
.jison,1,1,1,0,0,Jison
.jisonlex,1,1,1,0,0,Jison Lex
.jl,1,1,1,0,0,Julia
.js,1,1,1,1,0,JavaScript
.jsb,1,1,1,1,0,JavaScript
.jscad,1,1,1,1,0,JavaScript
.jsfl,1,1,1,1,0,JavaScript
.jsh,1,1,1,0,1,Java
.jslib,1,1,1,1,0,JavaScript
.jsm,1,1,1,1,0,JavaScript
.json-tmlanguage,1,0,1,0,0,JSON
.json5,1,1,1,0,0,JSON5
.jsonc,1,0,1,0,0,JSON with Comments
.jsonl,1,0,1,0,0,JSON
.jsonld,1,0,1,0,0,JSONLD
.jsonnet,1,0,1,0,0,Jsonnet
.jsp,1,1,1,0,0,Java Server Pages
.jspre,1,1,1,1,0,JavaScript
.jsproj,1,1,1,0,0,XML
.jss,1,1,1,1,0,JavaScript
.jst,1,1,1,0,0,EJS
.jsx,1,1,1,1,0,JavaScript
.jte,1,0,1,0,0,Java Template Engine
.just,1,1,1,0,1,Just
.kak,1,0,1,0,0,KakouneScript
.kdl,1,1,1,0,0,KDL
.kicad_mod,1,0,1,0,0,KiCad Layout
.kicad_pcb,1,0,1,0,0,KiCad Layout
.kicad_sch,1,0,1,0,0,KiCad Schematic
.kicad_sym,1,0,1,0,0,KiCad Schematic
.kicad_wks,1,0,1,0,0,KiCad Layout
.kid,1,1,1,0,0,Genshi
